bioguide_id,annee,n_trades,n_buy,buy_share,notional,n_tickers,sect_dom,n_days,vol,sharpe,ret_annee,exces_spy_annee
D000620,2015,169.0,93.0,0.5502958579881657,2332084.5,33.0,Consumer Discretionary,252.0,0.15857868928171007,-0.2623024834111325,-0.05269705282698334,-0.0650397049531456
D000620,2016,152.0,80.0,0.5263157894736842,1877576.0,37.0,Industrials,252.0,0.16118546286762264,0.6495423646484714,0.09604407273846105,-0.023935042939587925
D000620,2017,203.0,102.0,0.5024630541871922,3045101.5,37.0,Health Care,251.0,0.0979491404759545,2.1818564986046742,0.2312329557363515,0.014179041196562325
D000620,2018,189.0,101.0,0.5343915343915344,3545594.5,41.0,Information Technology,251.0,0.17689285496470467,0.25261639898918453,0.029358895677901398,0.07504899424819911
D000620,2019,,,,,,,252.0,0.13969116010991095,2.0868220439047924,0.3252581618332233,0.013019638803454248
D000620,2020,,,,,,,253.0,0.35910541582871197,0.5747835132427771,0.15254166245230816,-0.030774824826501845
D000620,2021,,,,,,,252.0,0.15735229259659791,2.1318095034935096,0.3811508629421416,0.09386354494510818
D000620,2022,,,,,,,251.0,0.2574968465943519,-0.5911579059251216,-0.16855571068564634,0.013197802925169033
D000620,2023,,,,,,,250.0,0.15229462846117628,1.0570281584353038,0.1597491723397897,-0.10200879472954116
D000620,2024,,,,,,,252.0,0.13968481804611885,0.906219561337861,0.12393452511586922,-0.12493015532224061
D000620,2025,,,,,,,250.0,0.18736887022166604,-0.20603025472785255,-0.05407288475212002,-0.2312634398712664
D000620,2026,,,,,,,125.0,0.16473460106251048,0.06642511446925316,-0.001255135695988896,-0.09924022898373841
D000622,2013,8.0,1.0,0.125,64004.0,5.0,Information Technology,252.0,0.2481925464037846,1.9266793071385644,0.5637626657931865,0.2406847214681962
D000622,2014,1.0,0.0,0.0,8000.5,1.0,Health Care,252.0,0.24689563254600866,1.1209588351596476,0.27918262766415225,0.14454461830753162
D000622,2015,6.0,5.0,0.8333333333333334,48003.0,5.0,Consumer Staples,252.0,0.1875386724697596,0.14607192652458312,0.009882447750312107,-0.00246020437585015
D000622,2016,3.0,0.0,0.0,24001.5,2.0,Information Technology,252.0,0.18651994913466574,0.5091867529827243,0.08069396863555212,-0.03928514704249686
D000622,2017,12.0,0.0,0.0,120506.0,11.0,Consumer Discretionary,251.0,0.12556253024681024,1.2147252293328719,0.15496399711652553,-0.06208991742326364
D000622,2018,2.0,0.0,0.0,16001.0,2.0,Consumer Staples,251.0,0.21003796580710812,-0.01765721887021749,-0.025323413048513932,0.02036668552178378
D000622,2019,,,,,,,252.0,0.15175484999033662,1.3679742863761344,0.21651054275231885,-0.09572798027745022
D000622,2020,,,,,,,253.0,0.31139770295806735,0.6387497629480305,0.1627463812779002,-0.020570106000909805
D000622,2021,3.0,0.0,0.0,48501.5,3.0,Communication Services,252.0,0.14476372312734562,1.513160003527503,0.23182304645153695,-0.05546427154549649
D000622,2022,,,,,,,251.0,0.18215389088308134,0.7614532464630022,0.12929475374688804,0.3110482673577034
D000622,2023,1.0,0.0,0.0,32500.5,1.0,Industrials,250.0,0.14462591768020922,0.4272423754776108,0.05227207687545232,-0.20948589019387853
D000622,2024,,,,,,,252.0,0.16604077513061563,0.17793999091854606,0.015810627454144965,-0.23305405298396487
D000622,2025,,,,,,,250.0,0.2025141148898127,0.8470776547471283,0.16159979159880855,-0.015590763520337836
D000622,2026,,,,,,,125.0,0.21507115331853535,1.4808245767618196,0.15780949890055163,0.05982440561280211
D000624,2015,23.0,14.0,0.6086956521739131,355511.5,13.0,Energy,219.0,0.19903455865542313,-0.7005218072608645,-0.12920513651060217,-0.12014221121036883
D000624,2016,69.0,62.0,0.8985507246376812,1385034.5,43.0,Consumer Discretionary,252.0,0.13282116741045988,0.7122554111553105,0.08958193646327506,-0.030397179214773917
