year,doc_id,filing_date,declarant_name_raw,state_dst,pdf_url,local_path,http_status,download_status,file_size_bytes,sha256,content_type,n_pages,text_extractable_flag,downloaded_at,error_message
2025,20030634,2025-07-10,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030634.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030634.pdf,200,ok,110009,458b6892646cd05caa60a1b9f65ca5729b1c26e43caf12106d166a997664a166,application/pdf,4,True,2026-06-23T16:04:31+00:00,
2025,20030901,2025-08-14,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030901.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030901.pdf,200,ok,109821,e10009a758e70c51a4e8abff33e85eaf11824f39476c5eaacc47ce6d3d98423f,application/pdf,4,True,2026-06-23T16:04:31+00:00,
2025,20031022,2025-09-12,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20031022.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20031022.pdf,200,ok,146355,40d49d84498ce5e931fff6d4ad4aa66066e1f350e53ab926d196430911fdb697,application/pdf,8,True,2026-06-23T16:04:42+00:00,
2025,20032248,2025-10-10,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032248.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032248.pdf,200,ok,150857,9c05f42170199e499cce25f46a7d8662ba660127aa06085e257941838193256c,application/pdf,9,True,2026-06-23T16:04:43+00:00,
2025,20033455,2025-11-18,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033455.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033455.pdf,200,ok,200405,8c9fc59a5e9763cc592c45748648b50ead7b107255e425e18ea80e44ed3123ad,application/pdf,15,True,2026-06-23T16:04:43+00:00,
2025,20033619,2025-12-15,Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033619.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033619.pdf,200,ok,252075,1b8ee580c853b7905e287c55a5068d2af7ce35bb4606cc183bec3669a92d463b,application/pdf,22,True,2026-06-23T16:04:44+00:00,
2025,20032205,2025-10-03,Katherine M. Clark,MA05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032205.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032205.pdf,200,ok,66672,b73f5223a510c84439c25f361c764844e09a05fd9614cd5c6d59e2482ce661b8,application/pdf,1,True,2026-06-23T16:04:44+00:00,
2025,20033393,2025-11-06,Katherine M. Clark,MA05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033393.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033393.pdf,200,ok,70700,66ecefc138be1e04e06245cb533afe2bcb995e8290d71dde6b7eea8bb80184d7,application/pdf,2,True,2026-06-23T16:04:45+00:00,
2025,20026548,2025-01-10,Steve Cohen,TN09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026548.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026548.pdf,200,ok,65141,7d5684094d4177a6067ee91fd124d35341832b479484c8648f9a0d5dcf89efa2,application/pdf,1,True,2026-06-23T16:04:45+00:00,
2025,20028025,2025-04-01,Steve Cohen,TN09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20028025.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20028025.pdf,200,ok,64732,5f3750163b70aadf8deccb6abce589de4363abd4268e110ef3edda66860ee63f,application/pdf,1,True,2026-06-23T16:04:46+00:00,
