doc_id,http_status,bytes
20004797,200,55651
20005349,200,51386
20005351,200,59966
20005377,200,50627
20005449,200,51041
20005531,200,50812
20005605,200,52307
20005898,200,52758
20005899,200,52102
20006022,200,50628
20006201,200,54833
20006213,200,51744
20006324,200,55826
20004603,200,67611
20005181,200,51387
20005865,200,51913
20006402,200,51070
9108215,200,101635
9108258,200,51765
9108368,200,52262
9108452,200,31831
9108481,200,53152
9108555,200,50437
9108586,200,25381
9108892,200,26448
9109043,200,27183
9109511,200,28093
9109544,200,27454
9109565,200,52789
9109766,200,53084
9109849,200,27989
9109850,200,27296
9109958,200,25819
9110030,200,25864
9110069,200,54091
9110129,200,27301
9110183,200,50137
9110196,200,27757
9110254,200,75409
9110287,200,51028
20004336,200,71239
20004516,200,69291
20004692,200,73889
20004842,200,57128
20005032,200,52631
20005264,200,52388
20005480,200,67356
20005825,200,52910
20006016,200,50385
20006166,200,57065
20006287,200,54389
9109740,200,32926
9109848,200,56756
20004381,200,69794
20004614,200,68214
20004653,200,72906
20004673,200,70528
20004726,200,51350
20004828,200,52704
20004893,200,53321
20005029,200,55036
20005192,200,52678
20005288,200,52349
20005340,200,50614
20005343,200,59156
20005422,200,51958
20005497,200,52916
20005596,200,50950
20005675,200,51691
20005725,200,50900
20005824,200,51668
20005863,200,51780
20005910,200,51145
20006127,200,52242
20006172,200,50513
20006242,200,55424
20006275,200,52579
20006392,200,50577
20004334,200,68160
20004713,200,67878
20004879,200,51603
20005320,200,50965
20005461,200,51034
20005827,200,51523
20005980,200,51267
20006307,200,51135
9108891,200,49912
9109739,200,52247
20006086,200,51918
9109510,200,28056
9110315,200,27268
9108386,200,30302
9108451,200,30783
9108650,200,35268
9109042,200,30985
9109478,200,31104
9109618,200,29145
9109942,200,32009
9110029,200,52297
9110239,200,55913
20004413,200,87994
20004656,200,73880
20004752,200,56959
20004753,200,50808
20004898,200,54603
20005247,200,61437
20005369,200,55599
20005460,200,50357
20005634,200,60194
20005637,200,52621
20005857,200,51344
20006011,200,56486
20006205,200,69358
20006339,200,68180
20004323,200,68255
20004511,200,72700
20004679,200,75813
20004841,200,51720
20005250,200,50769
20005438,200,51161
20005813,200,52577
20005990,200,54988
20006128,200,53353
20006286,200,55389
20004316,200,73872
20004473,200,74611
20004646,200,75365
20004792,200,55187
20004944,200,58715
20005199,200,57779
20005353,200,56301
20005554,200,56439
20005751,200,57975
20005943,200,57959
20006080,200,56714
20006222,200,53282
20006407,200,60551
9108256,200,34834
9108257,200,33428
9108367,200,33396
9108450,200,35550
9108553,200,32461
9108554,200,33954
9109041,200,32654
9109617,200,34420
9109686,200,34305
