bioguide,categorie,quadrant,n_photos,a_flux,a_photo_entree,dans_cohorte_Ca,dans_cohorte_papier,premiere_photo,derniere_photo
D000355,reconstructible partiel,déjà-là partis,1,True,False,False,False,2015-05-01,2015-05-01
D000399,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-07-14,2025-08-12
D000482,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-13,2023-02-15
D000530,reconstructible partiel,arrivés restés,5,False,True,False,False,2021-12-21,2025-04-25
D000533,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-05-14,2019-01-30
D000594,reconstructible partiel,arrivés restés,6,False,False,False,False,2023-08-10,2026-06-13
D000598,reconstructible partiel,déjà-là partis,8,True,False,False,False,2015-05-15,2021-01-26
D000600,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-14,2026-05-11
D000604,reconstructible partiel,déjà-là partis,5,True,False,False,False,2015-06-15,2018-05-30
D000610,reconstructible partiel,déjà-là partis,9,True,False,False,False,2015-05-15,2023-01-27
D000612,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-08-12,2019-04-26
D000614,reconstructible partiel,déjà-là partis,6,False,False,False,False,2015-08-13,2019-10-17
D000615,reconstructible partiel,déjà-là partis,11,True,False,False,False,2015-05-14,2025-01-22
D000616,reconstructible partiel,déjà-là restés,11,True,False,False,False,2015-05-13,2025-08-08
D000617,reconstructible partiel,déjà-là restés,12,True,False,False,False,2015-05-15,2026-05-14
D000619,reconstructible partiel,déjà-là partis,9,False,False,False,False,2015-04-29,2023-01-14
D000621,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-05-14,2018-10-31
D000622,reconstructible partiel,déjà-là partis,2,True,False,False,False,2015-05-15,2016-05-11
D000623,reconstructible partiel,arrivés restés,13,False,False,False,False,2014-05-01,2026-05-14
D000625,reconstructible partiel,cycle complet,5,False,False,False,False,2015-04-02,2019-03-04
D000627,reconstructible partiel,cycle complet,9,False,True,False,False,2015-12-23,2023-03-01
D000630,reconstructible partiel,cycle complet,7,False,False,False,False,2017-08-11,2022-07-13
D000631,reconstructible partiel,arrivés restés,9,False,False,False,False,2018-04-20,2026-05-15
D000632,reconstructible partiel,cycle complet,3,False,False,False,False,2022-08-08,2025-01-28
D000633,reconstructible partiel,cycle complet,3,False,False,False,False,2022-04-01,2024-06-06
D000634,reconstructible partiel,arrivés restés,3,False,True,False,False,2024-02-29,2025-07-14
D000635,reconstructible partiel,arrivés restés,3,False,True,False,False,2024-04-01,2025-08-13
E000071,reconstructible partiel,arrivés restés,7,False,False,False,False,2018-02-13,2025-08-13
E000179,reconstructible partiel,déjà-là partis,6,True,False,False,False,2015-05-15,2020-07-24
E000215,reconstructible partiel,déjà-là partis,11,False,False,False,False,2015-05-13,2025-01-28
E000235,reconstructible partiel,arrivés restés,5,False,False,False,False,2021-06-24,2025-07-15
E000246,reconstructible partiel,arrivés restés,4,False,True,False,False,2022-04-16,2025-08-13
E000288,reconstructible partiel,déjà-là partis,5,False,False,False,False,2015-04-27,2019-03-11
E000290,reconstructible partiel,déjà-là partis,4,False,False,False,False,2015-05-15,2022-05-17
