bioguide,date,sens,cause,n
B000740,2020-05-30,disparue,residuel,25
B000740,2021-08-12,apparue,nom,15
B000740,2021-08-12,apparue,premiere,15
B000740,2021-08-12,apparue,type_photo,5
B000740,2021-08-12,disparue,nom,21
B000740,2021-08-12,disparue,type_photo,11
B000740,2022-08-13,apparue,nom,4
B000740,2022-08-13,apparue,premiere,7
B000740,2022-08-13,apparue,type_photo,12
B000740,2022-08-13,disparue,nom,14
B000740,2022-08-13,disparue,type_photo,7
B000740,2023-08-12,apparue,nom,4
B000740,2023-08-12,apparue,premiere,3
B000740,2023-08-12,apparue,residuel,3
B000740,2023-08-12,disparue,nom,5
B000740,2023-08-12,disparue,residuel,18
B000740,2024-08-10,apparue,nom,7
B000740,2024-08-10,apparue,residuel,2
B000740,2024-08-10,disparue,nom,4
B000740,2024-08-10,disparue,residuel,14
B000740,2025-08-12,apparue,nom,11
B000740,2025-08-12,apparue,premiere,5
B000740,2025-08-12,apparue,residuel,1
B000740,2025-08-12,disparue,nom,3
B000740,2025-08-12,disparue,residuel,5
B000755,2016-08-14,apparue,nom,3
B000755,2016-08-14,disparue,nom,3
B000755,2017-08-14,apparue,nom,3
B000755,2017-08-14,disparue,nom,2
B000755,2018-09-11,apparue,nom,21
B000755,2018-09-11,disparue,nom,21
B000755,2020-09-12,apparue,nom,3
B000755,2020-09-12,disparue,nom,5
B000755,2023-09-22,apparue,nom,2
B000755,2023-09-22,disparue,nom,2
B000755,2023-09-22,disparue,type_photo,1
B000825,2021-08-17,apparue,nom,2
B000825,2021-08-17,apparue,premiere,1
B000825,2021-08-17,disparue,nom,3
B000825,2022-08-13,apparue,nom,5
B000825,2022-08-13,apparue,premiere,6
B000825,2022-08-13,disparue,nom,1
B000825,2022-08-13,disparue,type_photo,1
B000825,2023-05-11,disparue,nom,1
B000825,2024-08-13,apparue,nom,1
B000911,2018-05-15,apparue,nom,3
B000911,2018-05-15,apparue,premiere,1
B000911,2018-05-15,disparue,nom,1
B000911,2018-05-15,disparue,type_photo,1
B001223,2023-08-15,apparue,nom,1
B001223,2023-08-15,disparue,nom,1
B001223,2023-08-15,disparue,type_photo,1
B001223,2024-08-13,apparue,nom,3
B001223,2024-08-13,disparue,nom,1
B001227,2016-05-16,apparue,nom,2
B001227,2016-05-16,disparue,nom,3
B001227,2017-08-11,apparue,nom,1
B001227,2018-08-08,apparue,nom,6
B001227,2018-08-08,disparue,nom,6
B001234,2018-05-14,apparue,nom,6
B001234,2018-05-14,disparue,nom,5
B001242,2015-12-16,apparue,nom,12
B001242,2015-12-16,disparue,nom,5
B001242,2015-12-16,disparue,type_photo,1
B001242,2016-05-11,apparue,nom,5
B001242,2016-05-11,apparue,premiere,1
B001242,2016-05-11,disparue,nom,12
B001243,2016-08-12,apparue,nom,3
B001243,2016-08-12,disparue,nom,15
B001243,2017-08-03,apparue,nom,11
B001243,2017-08-03,apparue,premiere,1
B001243,2017-08-03,disparue,nom,17
B001243,2018-08-03,apparue,nom,11
B001243,2018-08-03,disparue,nom,11
B001245,2016-05-11,apparue,nom,1
B001245,2016-05-11,disparue,nom,3
B001245,2017-05-11,apparue,nom,2
B001245,2017-05-11,disparue,nom,1
B001245,2018-05-15,apparue,nom,7
B001245,2018-05-15,disparue,nom,7
B001245,2019-02-01,apparue,nom,2
B001245,2019-02-01,disparue,nom,4
B001248,2016-08-08,apparue,nom,1
B001248,2016-08-08,disparue,nom,2
B001248,2016-08-08,disparue,residuel,2
B001248,2017-07-13,disparue,nom,2
B001248,2017-07-13,disparue,residuel,2
B001248,2018-08-06,apparue,nom,15
B001248,2018-08-06,apparue,premiere,2
B001248,2018-08-06,disparue,nom,15
B001248,2018-08-06,disparue,residuel,1
B001248,2019-08-12,apparue,residuel,2
B001248,2019-08-12,disparue,nom,1
B001248,2019-08-12,disparue,residuel,2
B001248,2020-08-13,apparue,nom,2
B001248,2020-08-13,disparue,nom,3
B001248,2021-08-09,apparue,nom,2
B001248,2021-08-09,apparue,premiere,1
B001248,2021-08-09,disparue,nom,5
B001248,2021-08-09,disparue,residuel,1
B001248,2022-08-12,apparue,nom,14
B001248,2022-08-12,apparue,premiere,2
B001248,2022-08-12,apparue,residuel,2
B001248,2022-08-12,disparue,nom,11
B001248,2022-08-12,disparue,residuel,3
B001248,2023-08-11,apparue,nom,3
B001248,2023-08-11,apparue,premiere,3
B001248,2023-08-11,apparue,residuel,1
B001248,2023-08-11,disparue,nom,4
B001248,2023-08-11,disparue,residuel,13
B001248,2024-08-13,apparue,nom,22
B001248,2024-08-13,apparue,premiere,11
B001248,2024-08-13,apparue,residuel,4
B001248,2024-08-13,disparue,nom,10
B001248,2024-08-13,disparue,residuel,10
B001248,2025-02-02,apparue,nom,8
B001248,2025-02-02,apparue,premiere,5
B001248,2025-02-02,disparue,nom,12
B001248,2025-02-02,disparue,type_photo,9
B001250,2017-05-03,apparue,nom,1
B001250,2017-05-03,disparue,nom,1
B001250,2018-05-11,apparue,nom,1
B001250,2018-05-11,disparue,nom,1
B001250,2019-04-10,apparue,nom,1
B001250,2019-04-10,disparue,nom,1
B001250,2020-07-30,apparue,nom,1
B001250,2020-07-30,disparue,nom,1
B001250,2021-02-04,apparue,nom,3
B001250,2021-02-04,disparue,nom,2
B001250,2021-02-04,disparue,type_photo,1
B001251,2016-04-21,apparue,nom,2
B001251,2016-04-21,disparue,nom,3
B001251,2017-05-15,apparue,nom,6
B001251,2017-05-15,disparue,nom,4
B001251,2018-05-10,apparue,nom,20
B001251,2018-05-10,disparue,nom,25
B001251,2019-05-14,apparue,nom,4
B001251,2019-05-14,disparue,nom,7
B001251,2020-08-12,apparue,nom,3
B001251,2020-08-12,disparue,nom,4
B001251,2021-07-30,disparue,nom,2
B001251,2022-05-12,apparue,nom,5
B001251,2022-05-12,disparue,nom,4
B001251,2022-05-12,disparue,residuel,1
B001255,2016-05-13,apparue,nom,17
B001255,2016-05-13,apparue,premiere,15
B001255,2016-05-13,disparue,nom,16
B001255,2016-05-13,disparue,residuel,3
B001255,2017-02-02,apparue,nom,13
B001255,2017-02-02,disparue,nom,14
B001255,2017-02-02,disparue,type_photo,34
B001257,2016-05-13,apparue,nom,44
B001257,2016-05-13,apparue,premiere,2
B001257,2016-05-13,apparue,residuel,1
B001257,2016-05-13,disparue,nom,53
B001257,2016-05-13,disparue,residuel,5
B001257,2017-05-15,apparue,nom,45
B001257,2017-05-15,disparue,nom,45
B001257,2017-05-15,disparue,residuel,3
B001257,2018-07-13,apparue,nom,20
B001257,2018-07-13,apparue,premiere,2
B001257,2018-07-13,apparue,residuel,1
B001257,2018-07-13,disparue,nom,46
B001257,2019-08-12,apparue,nom,21
B001257,2019-08-12,apparue,premiere,1
B001257,2019-08-12,apparue,residuel,2
B001257,2019-08-12,disparue,nom,19
B001257,2019-08-12,disparue,residuel,2
B001257,2020-08-13,apparue,nom,20
B001257,2020-08-13,apparue,residuel,1
B001257,2020-08-13,disparue,nom,19
B001257,2021-08-09,apparue,nom,17
B001257,2021-08-09,disparue,nom,20
B001257,2021-08-09,disparue,residuel,2
B001257,2022-05-13,apparue,nom,14
B001257,2022-05-13,apparue,premiere,1
B001257,2022-05-13,apparue,residuel,1
B001257,2022-05-13,disparue,nom,18
B001257,2022-05-13,disparue,residuel,1
B001257,2023-05-15,apparue,nom,17
B001257,2023-05-15,disparue,nom,13
B001257,2023-05-15,disparue,residuel,3
B001257,2024-05-07,apparue,nom,15
B001257,2024-05-07,apparue,residuel,1
B001257,2024-05-07,disparue,nom,19
B001257,2025-05-14,apparue,nom,21
B001257,2025-05-14,disparue,nom,16
B001257,2025-05-14,disparue,residuel,2
B001257,2026-05-12,apparue,nom,8
B001257,2026-05-12,apparue,premiere,1
B001257,2026-05-12,apparue,residuel,2
B001257,2026-05-12,disparue,nom,21
B001260,2016-05-16,apparue,nom,175
B001260,2016-05-16,disparue,nom,137
B001260,2016-05-16,disparue,residuel,2
B001260,2017-05-15,apparue,nom,70
B001260,2017-05-15,disparue,nom,139
B001260,2018-05-15,apparue,nom,83
B001260,2018-05-15,disparue,nom,81
B001260,2019-05-15,apparue,nom,30
B001260,2019-05-15,apparue,premiere,2
B001260,2019-05-15,disparue,nom,123
B001260,2020-08-12,apparue,nom,115
B001260,2020-08-12,apparue,premiere,1
B001260,2020-08-12,apparue,residuel,1
B001260,2020-08-12,disparue,nom,86
B001260,2020-08-12,disparue,residuel,2
B001260,2021-08-09,apparue,nom,34
B001260,2021-08-09,disparue,nom,60
B001260,2022-05-13,apparue,nom,46
B001260,2022-05-13,disparue,nom,41
B001260,2023-05-14,apparue,nom,30
B001260,2023-05-14,disparue,nom,53
B001260,2023-05-14,disparue,residuel,6
B001260,2024-05-15,apparue,nom,35
B001260,2024-05-15,apparue,premiere,4
B001260,2024-05-15,disparue,nom,42
B001260,2024-05-15,disparue,residuel,9
B001260,2025-05-15,apparue,nom,26
B001260,2025-05-15,apparue,premiere,5
B001260,2025-05-15,apparue,residuel,1
B001260,2025-05-15,disparue,nom,32
B001260,2025-05-15,disparue,residuel,3
B001260,2026-05-14,apparue,nom,12
B001260,2026-05-14,apparue,premiere,3
B001260,2026-05-14,apparue,residuel,4
B001260,2026-05-14,disparue,nom,23
B001260,2026-05-14,disparue,residuel,2
B001262,2016-04-22,apparue,nom,26
B001262,2016-04-22,disparue,nom,24
B001262,2016-04-22,disparue,type_photo,2
B001262,2020-05-14,apparue,nom,12
B001262,2020-05-14,apparue,premiere,8
B001262,2020-05-14,apparue,residuel,1
