last,first,suffix,state_district,n_depots,types,bioguide,match_method
Backemeyer,Christopher,,NE01,3,CX,,aucun_nom
Backie,Robert,,AZ01,2,CX,,aucun_nom
Bacon,Donald J.,,NE02,5,AO,B001298,prefixe
Bacon,Donald John,,NE02,8,HOX,B001298,prefixe
Bacon,Donald John Mr,,NE02,2,C,B001298,prefixe
Bacon,Kevin,,OH12,1,C,,etat_incoherent
Bacon,Mary,,WA10,3,CDX,,etat_incoherent
Bacon,Sarah,,CA24,1,C,,etat_incoherent
Baddar,Youseff Milad,,OH05,1,C,,aucun_nom
Badey,George J.,III,,1,W,,aucun_nom
Badhasso,Amane,,MN04,2,C,,aucun_nom
Baechler,Mary,,WA04,1,D,,aucun_nom
Baer,Benjamin Michael,,IL16,2,D,,aucun_nom
Baer,Dan,,,1,W,,aucun_nom
Baer,Dan,,CO07,1,X,,aucun_nom
Baer,Lauren,,FL18,1,X,,aucun_nom
Baer,Lauren Elizabeth,,FL18,2,C,,aucun_nom
Baez,Edgardo Rafael,,TX20,2,C,,aucun_nom
Baez-Geller,Lucia,,FL27,1,C,,aucun_nom
Bagwell,Thomas A.,,MI12,1,D,,aucun_nom
Bah,Iman,,AZ06,1,C,,aucun_nom
Bah,Iman-Utopia Layjou,,AZ02,2,C,,aucun_nom
Bah,Omar,,RI02,2,CX,,aucun_nom
Bahari,Olis,,TX10,1,C,,aucun_nom
Baiko,Kevin,,NC03,2,CD,,aucun_nom
Bailey,Corey Ryan,,WA08,1,C,,aucun_nom
Bailey,Darren,,IL12,2,CX,,aucun_nom
Bailey,Kathleen Cordelia,,TX05,2,CW,,aucun_nom
Bailey,Melissa,,NH01,2,C,,aucun_nom
Bailey,Richard,,CA52,2,CX,,aucun_nom
Bailey,Scott Christian,,CO01,2,CD,,aucun_nom
Bailey,William,,SC07,1,D,,aucun_nom
Bailey,William W.,,IN09,1,C,,aucun_nom
Bains,Jasmeet,,CA22,4,CWX,,aucun_nom
Baird,James R Dr,,IN04,10,OX,B001307,prefixe
Baird,James R.,,IN04,7,COX,B001307,prefixe
Bakari,Kamau,,NV01,1,C,,aucun_nom
Baker,Aaron,,FL06,1,C,,aucun_nom
Baker,Arthur Radford,Jr.,MD03,1,C,,aucun_nom
Baker,Carey,,FL11,1,C,,aucun_nom
Baker,Collin James,,TX06,1,D,,aucun_nom
Baker,David,,PA11,1,C,,aucun_nom
Baker,Dennis,,OK01,3,CD,,aucun_nom
Baker,Devin,,FL02,1,D,,aucun_nom
Baker,Edward,,OR03,1,D,,aucun_nom
Baker,Ethan D.,,MI11,3,CX,,aucun_nom
Baker,Karen G. H.,,VA09,1,C,,aucun_nom
Baker,Ms Tj,,TX18,1,C,,aucun_nom
Baker,Nicholas Frederick,,IN06,1,C,,aucun_nom
Baker,Rushern L.,III,MD05,1,C,,aucun_nom
Baker,Samuel Goodman,,,1,W,,aucun_nom
Baker,Terry,,MD06,1,C,,aucun_nom
Baker,Terry Hunter,Jr.,TN08,1,C,,aucun_nom
Balat,David,,TX07,2,CX,,aucun_nom
Balchunis,Mary Ellen,,PA05,1,W,,aucun_nom
Balchunis,Mary Ellen,,PA07,1,C,,aucun_nom
Baldacci,Joseph,,ME02,2,C,,aucun_nom
Baldacci,Joseph M.,,,1,W,,aucun_nom
Baldacci,Joseph M.,,ME02,3,CX,,aucun_nom
Balderramos Robinson,Corinna,,FL18,2,CD,,aucun_nom
Balderson,Troy,,OH12,14,ACOX,B001306,exact
Baldini,James,,NJ05,1,D,,aucun_nom
Balekian,Alex Arto,,CA30,2,C,,aucun_nom
Bales,Andrew Peter,,IN05,3,CD,,aucun_nom
Balint,Rebecca 'Becca',,VT00,6,AHO,B001318,last_unique
