bioguide_id,last_name,first_name,official_full,nickname,party,chamber,state,district,declarant_name,name_variants,committee_membership,committees_key_flag
S000143,Schuette,Bill,,,Republican,house,MI,10.0,Bill Schuette,"[""Bill Schuette""]",[],False
S000393,Shumway,Norman,,,Republican,house,CA,14.0,Norman Shumway,"[""Norman Shumway""]",[],False
S000527,Smith,Dennis,,Denny,Republican,house,OR,5.0,Dennis Smith,"[""Dennis Smith"", ""Denny Smith""]",[],False
S000584,Smith,Larkin,,,Republican,house,MS,5.0,Larkin Smith,"[""Larkin Smith""]",[],False
S000601,Smith,Peter,,,Republican,house,VT,0.0,Peter Smith,"[""Peter Smith""]",[],False
S000622,Smith,Virginia,,,Republican,house,NE,3.0,Virginia Smith,"[""Virginia Smith""]",[],False
S000795,Stangeland,Arlan,,,Republican,house,MN,7.0,Arlan Stangeland,"[""Arlan Stangeland""]",[],False
T000053,Tauke,Thomas,,,Republican,house,IA,2.0,Thomas Tauke,"[""Thomas Tauke""]",[],False
W000044,Walgren,Douglas,,,Democrat,house,PA,18.0,Douglas Walgren,"[""Douglas Walgren""]",[],False
W000092,Wallop,Malcolm,,,Republican,senate,WY,,Malcolm Wallop,"[""Malcolm Wallop""]",[],False
W000426,Whittaker,Robert,,,Republican,house,KS,5.0,Robert Whittaker,"[""Robert Whittaker""]",[],False
W000607,Wilson,Pete,,,Republican,senate,CA,,Pete Wilson,"[""Pete Wilson""]",[],False
W000763,Wright,James,,,Democrat,house,TX,12.0,James Wright,"[""James Wright""]",[],False
B001166,Bush,George,,,Republican,house,TX,7.0,George Bush,"[""George Bush""]",[],False
A000103,Alexander,William,,Bill,Democrat,house,AR,1.0,William Alexander,"[""Bill Alexander"", ""William Alexander""]",[],False
A000189,Anderson,Glenn,,,Democrat,house,CA,32.0,Glenn Anderson,"[""Glenn Anderson""]",[],False
A000212,Annunzio,Frank,,,Democrat,house,IL,11.0,Frank Annunzio,"[""Frank Annunzio""]",[],False
A000213,Anthony,Beryl,,,Democrat,house,AR,4.0,Beryl Anthony,"[""Beryl Anthony""]",[],False
A000226,Atkins,Chester,,,Democrat,house,MA,5.0,Chester Atkins,"[""Chester Atkins""]",[],False
A000337,AuCoin,Les,,,Democrat,house,OR,1.0,Les AuCoin,"[""Les AuCoin""]",[],False
B000153,Barnard,Druie,,,Democrat,house,GA,10.0,Druie Barnard,"[""Druie Barnard""]",[],False
B000204,Bartlett,Harry,,Steve,Republican,house,TX,3.0,Harry Bartlett,"[""Harry Bartlett"", ""Steve Bartlett""]",[],False
B000371,Bennett,Charles,,,Democrat,house,FL,3.0,Charles Bennett,"[""Charles Bennett""]",[],False
B000551,Blaz,Ben,,,Republican,house,GU,0.0,Ben Blaz,"[""Ben Blaz""]",[],False
B000639,Boren,David,,,Democrat,senate,OK,,David Boren,"[""David Boren""]",[],False
B001225,Bradley,William,,Bill,Democrat,senate,NJ,,William Bradley,"[""Bill Bradley"", ""William Bradley""]",[],False
