bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,ticker_source,provenance
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,ITA,ISHARES TR US AEROSPACE & DEFE (ITA),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,592c6550c88feca8f10abb1489437210c7bd040936f5a151756a37db46f12913,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,IBDP,ISHARES TR IBONDS DEC 2024 TER (IBDP),Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,5583bf08876dc0639ef4e0a371393fee54b2dd845cfae05198bd50f40cbe9e0b,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,EWU,ISHARES TR MSCI UTD KINGDOM E (EWU),Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,cc7e6e64db2f3d079434f8785148fb4cb32f07d8db999a9a942344f0d3fa4711,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,HYBB,ISHARES TR BB RATED CORP BD E (HYBB),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,3faebaf5a2af2b58ebe677246163212104c65d8c12d8f417ebd7086efea2e777,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,IBDU,ISHARES TR IBONDS DEC 2029 TER (IBDU),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,e59cdb6e2b296d19ea367067c05006611f9371586f6002395241610a64033ccf,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,IBTK,ISHARES TR IBONDS DEC 2030 TER (IBTK),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,6decaba21776a0c531890e5c0dcca6701f0bf6cc6b33d29dd172a00b633c5f9e,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,IBTF,ISHARES TR IBONDS DEC 2025 TER (IBTF),Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,be3ebf4227f7b8b874bbe97355de0310f4ad719ffe3d0dd025606b13bed6900d,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,SPDW,SPDR INDEX SHS FDS SPDR PORT (SPDW),Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,d43ce9d9d1f9cd8b696d0fb404c37b493ba662cae30239c25fec25f42a794695,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,SPYG,SPDR SER TR S&P 500 GROWTH E (SPYG),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,eec02750ea54cbbcf268afafa4e551f35593563700e66855677fa2a4b6f9c4ee,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,SPYV,SPDR SER TR S&P 500 VALUE ETF (SPYV),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,ca17d3656d946436e1e892a8025013c96008856a61db7cbea03a84dd7e534e4b,explicit,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2022-04-25,2022-05-16,MDYG,SPDR SER TR S&P 400 MID CAP G (MDYG),Mutual Fund,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,f26370eef759a2dd687363d138a67bf7cb480b037aa88ea110773b9d28d45b8d,explicit,house-pdf-ocr
