bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index
S000583,Lamar Smith,house,Republican,TX21,,False,2016-11-10,2016-12-12,COST,Costco Wholesale Corporation,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006317,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006317.pdf,0c13858cba5357d6d2b7a5edfb8bd9fe3701d8a8b4a34b00aac85de360280b56,0
D000617,Suzan K. DelBene,house,Democrat,WA01,HSWM04; HSWM05; HSWM06; House Committee on Ways and Means,False,2016-11-23,2016-12-11,,Wells Fargo & Co 4.6% Due 04/01/21,,Sale,"$100,001 - $250,000",175000.5,False,JT,20006287,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006287.pdf,2a2f2ec41cdcd69d7529d691e8b3096c6cfda6b5694c0fd52f42742bc2ee619b,0
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2016-11-22,2016-12-11,GD,general Dynamics Corporation,,Purchase,"$15,001 - $50,000",32500.5,False,SP,20006341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006341.pdf,9f3607890c929f29ccce75a1bafc2923e1e8299fd82fb03f3c9febe66f166e23,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-12-22,2016-12-11,,TPH Partners lP,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,4e717abe3c4ba09e0ebd28a35c774f154b54cdfa5066b340662d4cbe7a21a5c2,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-12-07,2016-12-11,,TPH Partners II lP,,Purchase,"$15,001 - $50,000",32500.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,e039b86ef4693b11f56dc0ab4398bdce0da600d60f3c23b72d110824e27572fa,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-11-18,2016-12-11,,"Tallgrass Energy gP, lP Class a shares",,Purchase,"$50,001 - $100,000",75000.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,fccd752c66621bf5cd9cf9a1955bb3a7020420218f5b47ac209c1e834649ab40,0
D000617,Suzan K. DelBene,house,Democrat,WA01,HSWM04; HSWM05; HSWM06; House Committee on Ways and Means,False,2016-11-15,2016-12-11,,Bear Stearns Co 5.550% Due 01/22/17,,Sale,"$100,001 - $250,000",175000.5,False,JT,20006287,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006287.pdf,adbcdf30100d005f9a5b2fe084025c5706f85180a16251f4028f93428d965e35,0
D000617,Suzan K. DelBene,house,Democrat,WA01,HSWM04; HSWM05; HSWM06; House Committee on Ways and Means,False,2016-11-15,2016-12-11,,Morgan Stanley 4.750% Due 03/22/17,,Sale,"$100,001 - $250,000",175000.5,False,JT,20006287,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006287.pdf,7857e1a268d9bef7a5eb896af698f4ec01d315a76b39dd32c7c123dbf2d57477,0
D000617,Suzan K. DelBene,house,Democrat,WA01,HSWM04; HSWM05; HSWM06; House Committee on Ways and Means,False,2016-11-15,2016-12-11,,New Mexico Mun Energy acquisition,,Purchase,"$250,001 - $500,000",375000.5,False,JT,20006287,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006287.pdf,65e2286c1b2dea73affc6654c5e039a762259c4a4b18f55e1efeff9c0b072676,0
D000617,Suzan K. DelBene,house,Democrat,WA01,HSWM04; HSWM05; HSWM06; House Committee on Ways and Means,False,2016-11-23,2016-12-11,,New Mexico Mun Energy acquisition,,Sale,"$250,001 - $500,000",375000.5,False,JT,20006287,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006287.pdf,941ac5030c25bde25cf0dc7b57c9f912d2f5641919c24015ccdc0ee222939149,0
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2016-12-09,2016-12-11,,Frontier Communications,,Sale,"$1,001 - $15,000",8000.5,False,SP,20006341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006341.pdf,8a69ed36fadf153a28dce3258162ef5b894cfa0573c93e39f6fef052bcf74bdd,0
D000617,Suzan K. DelBene,house,Democrat,WA01,HSWM04; HSWM05; HSWM06; House Committee on Ways and Means,False,2016-11-23,2016-12-11,,Wstn Wash univ 3.00% Educ univ Due,,Purchase,"$250,001 - $500,000",375000.5,False,JT,20006287,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006287.pdf,fd7a7ce45551ec2637e2d54aa83cb85da9fa616f2ac630a9c84a49fe15df9cdc,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-11-08,2016-12-11,,seagate Technology PlC - ordinary,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,9bb28c63ebb1b7c2129ebe0efb4ed707be33e0624b0f9eadae09516cb4b2f6ae,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-11-18,2016-12-11,WMB,"Williams Companies, Inc.",,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,e2fe3b70e58c2272ac295b611c9bf23ca15b215d53014a1a2bdcb46176c5e0a8,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-11-08,2016-12-11,PM,Philip Morris International Inc,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,4a0dd6bc30d0dc7ba260773bf02d927fce6efa61d956211deb7952e82d4fe3e8,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-11-18,2016-12-11,OKE,"oNEoK, Inc.",,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,82567ef2dd64f34252c180f84e2932007dd7b9bb642c2e6e7baacd730ff4ec41,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-11-08,2016-12-11,,lyondellBasell Industries NV ordinary,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,ed4cceb40f5de502af99c437e1b1bf6cc851fc4cef0daeea977c4b504a5f782d,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-11-08,2016-12-11,IYH,ishares u.s. Healthcare ETF,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,279f8d570e3df222a407d538a1bb6d23609f879df8fd19c4865f203ae96f1f8a,0
F000461,Bill Flores,house,Republican,TX17,,False,2016-11-08,2016-12-11,,Capital one Financial Corporation,,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006339,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006339.pdf,249ca78693f6141ebf48e1ef5957f5095af371b513934e7cb8da8874d10c63a1,0
