last,first,filing_type,state_dist,filing_date,doc_id,year
Lee,Susie,P,NV03,10/12/2021,20019586,2021
Lee,Susie,P,NV03,10/19/2021,20019647,2021
Lee,Susie,P,NV03,11/9/2021,20019743,2021
Lofgren,Zoe,P,CA19,9/10/2021,20019458,2021
Lofgren,Zoe,P,CA19,10/7/2021,20019592,2021
Lofgren,Zoe,P,CA19,11/3/2021,20019744,2021
Long,Billy,P,MO07,6/16/2021,8218114,2021
Lowenthal,Alan S.,P,CA47,1/9/2021,20017999,2021
Lowenthal,Alan S.,P,CA47,1/9/2021,20018000,2021
Lowenthal,Alan S.,P,CA47,1/9/2021,20018001,2021
Lowenthal,Alan S.,P,CA47,1/26/2021,20018081,2021
Lowenthal,Alan S.,P,CA47,1/26/2021,20018082,2021
Lowenthal,Alan S.,P,CA47,1/26/2021,20018083,2021
Lowenthal,Alan S.,P,CA47,2/2/2021,20018129,2021
Lowenthal,Alan S.,P,CA47,2/2/2021,20018130,2021
Lowenthal,Alan S.,P,CA47,2/2/2021,20018131,2021
Lowenthal,Alan S.,P,CA47,2/2/2021,20018132,2021
Lowenthal,Alan S.,P,CA47,2/5/2021,20018153,2021
Lowenthal,Alan S.,P,CA47,2/5/2021,20018154,2021
Lowenthal,Alan S.,P,CA47,2/5/2021,20018155,2021
Lowenthal,Alan S.,P,CA47,2/10/2021,20018185,2021
Lowenthal,Alan S.,P,CA47,2/10/2021,20018186,2021
Lowenthal,Alan S.,P,CA47,2/10/2021,20018187,2021
Lowenthal,Alan S.,P,CA47,2/21/2021,20018256,2021
Lowenthal,Alan S.,P,CA47,3/5/2021,20018334,2021
Lowenthal,Alan S.,P,CA47,3/5/2021,20018335,2021
Lowenthal,Alan S.,P,CA47,3/5/2021,20018336,2021
Lowenthal,Alan S.,P,CA47,3/17/2021,20018413,2021
Lowenthal,Alan S.,P,CA47,3/17/2021,20018414,2021
Lowenthal,Alan S.,P,CA47,3/23/2021,20018447,2021
Lowenthal,Alan S.,P,CA47,3/23/2021,20018448,2021
Lowenthal,Alan S.,P,CA47,3/23/2021,20018449,2021
Lowenthal,Alan S.,P,CA47,3/23/2021,20018450,2021
Lowenthal,Alan S.,P,CA47,3/23/2021,20018451,2021
Lowenthal,Alan S.,P,CA47,3/23/2021,20018452,2021
Lowenthal,Alan S.,P,CA47,3/23/2021,20018453,2021
Lowenthal,Alan S.,P,CA47,3/28/2021,20018473,2021
Lowenthal,Alan S.,P,CA47,3/28/2021,20018474,2021
Lowenthal,Alan S.,P,CA47,3/28/2021,20018475,2021
Lowenthal,Alan S.,P,CA47,4/4/2021,20018513,2021
Lowenthal,Alan S.,P,CA47,4/4/2021,20018514,2021
Lowenthal,Alan S.,P,CA47,4/15/2021,20018593,2021
Lowenthal,Alan S.,P,CA47,5/17/2021,20018667,2021
Lowenthal,Alan S.,P,CA47,5/24/2021,20018803,2021
Lowenthal,Alan S.,P,CA47,6/6/2021,20018857,2021
Lowenthal,Alan S.,P,CA47,6/13/2021,20018911,2021
Lowenthal,Alan S.,P,CA47,6/13/2021,20018912,2021
Lowenthal,Alan S.,P,CA47,6/13/2021,20018913,2021
Lowenthal,Alan S.,P,CA47,7/5/2021,20019028,2021
Lowenthal,Alan S.,P,CA47,7/6/2021,20019033,2021
Lowenthal,Alan S.,P,CA47,7/10/2021,20019068,2021
Lowenthal,Alan S.,P,CA47,7/15/2021,20019096,2021
Lowenthal,Alan S.,P,CA47,7/15/2021,20019097,2021
Lowenthal,Alan S.,P,CA47,7/15/2021,20019098,2021
Lowenthal,Alan S.,P,CA47,7/16/2021,20019100,2021
Lowenthal,Alan S.,P,CA47,8/7/2021,20019253,2021
Lowenthal,Alan S.,P,CA47,8/12/2021,20019309,2021
Lowenthal,Alan S.,P,CA47,8/30/2021,20019402,2021
Lowenthal,Alan S.,P,CA47,8/30/2021,20019403,2021
Lowenthal,Alan S.,P,CA47,9/14/2021,20019481,2021
Lowenthal,Alan S.,P,CA47,9/14/2021,20019482,2021
Lowenthal,Alan S.,P,CA47,9/14/2021,20019483,2021
Lowenthal,Alan S.,P,CA47,10/4/2021,20019570,2021
Lowenthal,Alan S.,P,CA47,10/7/2021,20019595,2021
Lowenthal,Alan S.,P,CA47,10/7/2021,20019596,2021
Lowenthal,Alan S.,P,CA47,10/16/2021,20019638,2021
Lowenthal,Alan S.,P,CA47,11/8/2021,20019776,2021
Lowenthal,Alan S.,P,CA47,11/8/2021,20019777,2021
Lowenthal,Alan S.,P,CA47,11/10/2021,20019795,2021
Lowenthal,Alan S.,P,CA47,11/10/2021,20019796,2021
